RECIPIENT	DEP	PUBLISHER	JOURNAL	TITLE	Invoice No.	AMOUNT REQ	DATE REQUEST	DATE INVOICE REC.	Paid
Professor Graham Burton	Physiology, Development and Neuroscience	Oxford University Press	Molecular Human Reproduction	Hepcidin and iron species distribution inside the first trimester human gestational sac		£1,700.00	01-Dec-10		
Professor Graham Burton	Physiology, Development and Neuroscience	Elsevier	Best Practice and Research Clinical Obstetrics and Gynaecology	Oxidative stress		£1,700.00	01-Dec-10		
Professor Graham Burton	Physiology, Development and Neuroscience	Elsevier	Pregnancy Hypertension	Endoplasmic reticulum stress in the pathogenesis of early-onset pre-eclampsia		£1,903.93	09-Dec-10		
Professor E.D Laue	Biochemistry	Rockefeller University Press	Journal of Cell Biology	Nessun Dorma, a novel centralspindlin partner, is required for cytokinesis in Drosophila spermatocytes		£659.53	13-Jan-11		
Professor Roger C Thomas	Physiology, Development and Neuroscience			The plasma membrane calcium ATPase (PMCA) Ca2+:H+ coupling ratio in neurones is little sensitive to changes in external or internal pH		£1,874.64	20-Jan-11		
Professor Azim Surani	Biochemistry	Cold Spring Harbor Laboratory Press	Genes & Development	Prmt5 is essential for early mouse development and acts in the cytoplasm to maintain ES cell pluripotency		£1,243.47	31-Jan-11		
Dr Damian Crowther	Genetics	Elsevier	Journal of Neuroscience Methods	Detection of early locomotor abnormalities in a Drosophila model of Alzheimer’s disease by a three-dimensional tracking system		£1,862.19	08-Feb-11		
Professor Douglas Fearon	Medicine	Wiley Blackwell	European Journal of Immunology	T-BET mediated differentiation of the activated CD8+ T cell		£1,831.95	11-Feb-11		
Professor Chris Huang	Physiology, Development and Neuroscience	American Physiological Society	American Journal of Physiology	Mapping of reentrant spontaneous polymorphic ventricular tachycardia in a Scn5a+/- mouse model		£1,240.93	22-Mar-11		
Professor Roger C Thomas	Physiology, Development and Neuroscience	Elsevier	Cell Calcium	The Ca2+:H+ coupling ratio of the plasma membrane calcium ATPase in neurones is little sensitive to changes in external or internal pH		£2,301.17	19-Mar-11		
Professor Bill Harris	Physiology, Development and Neuroscience	National Academy of Sciences	Proceedings of the National Academy of Sciences of the United States of America	RAR signalling regulates choroid fissure closure through independent mechanisms in the ventral optic cup and periocular mesenchyme		£763.63	10-May-11		
Dr Teresa Tiffert	Physiology, Development and Neuroscience	Elsevier	Biophysical Journal	X-ray microanalysis investigation of the changes in Na, K and Hemoglobin concentration in Plasmodium falciparum infected red blood cells		£3,695.61	18-May-11		
Dr Christoph Teufel	Psychiatry	Elsevier	Neuropsychologia	Deficits in sensory prediction are related to delusional ideation in healthy individuals		£2,261.89	18-May-11		
Dr Andrew Firth	Pathology	Oxford University Press	Molecular Biology and Evolution	A pilot study of bacterial genes with disrupted ORFs reveals a surprising profusion of protein sequence recoding mediated by ribosomal frameshifting and transcriptional realignment		£2,040.00	07-Jun-11		
									
Professor Chris Huang	Physiology, Development and Neuroscience	Springer Verlag	European Journal of Physiology	Refractory dispersion promotes conduction disturbance and arrhythmias in a Scn5a+/-mouse model		£1,877.26	21-Jun-11		
Professor Roger Keynes	Physiology, Development and Neuroscience	Elsevier	Journal of Neuroscience Methods	Lentiviral vectors express Chondroitinase ABC in cortical projections and promote sprouting of injured corticospinal axons		£1,842.45	15-Aug-11		
Professor Derek Smith	Zoology	Society for General Microbiology	Journal of General Virology	Genetic and antigenetic characterization of H1 virus from United States swine from 2008		£1,500.00	03-Oct-11		
Dr Lisa Saksida	Experimental Psychology	Society for Neuroscience	Journal of Neurscience	Impaired attentionin the 3xTgAD model of Alzheimer's disease assessed using a translational touchscreen method for mice: rescue by Donepezil (Aricept)		£1,592.46	06-Oct-11		
Dr J D Mollon	Experimental Psychology	Association for Research in Vision and Ophthalmology 	Journal of Vision	Paraforveal color discrimination: A chromaticity locus of enhanced discrimination		£1,592.46	06-Oct-11		
