App no.	RECIPIENT	DEP	PUBLISHER	JOURNAL	TITLE	Invoice No.	AMOUNT REQ	DATE REQUEST	DATE INVOICE REC.	Paid
WT 13-14 125	Professor Sir Tom Blundell	Biochemistry	Elsevier	DNA Repair	The spatial organisation of non­homologous end joining: from bridging to end joining	PH 815762	£2,407.43	25-Mar-14	01-Apr-14	y
WT 13-14 128	Dr CM Fitzsimmons	Pathology	Elsevier	International Journal for Parasitology	Human IgE responses to different splice varients of Schistosoma mansoni tropomysin: associations with immunity	PK819331	£1,615.30	07-Apr-14	28-Apr-14	y
WT 13-14 129	Dr Stephen Burgess	Public Health and Primary Care	Oxford University Press	American Journal of Epidemiology	Lack of identification in semi-parametric instrumental variable models with binary outcomes	RH 819183	£2,550.00	10-Apr-14	25-Apr-14	y
WT 13-14 130	Dr Rick Livesey	Biochemistry	BioMed Central	Neural Development	Dicer is required for neural stem cell mulitpotency and lineage progression during during cerebral cortex development	PR 804807	£1,320.90	17-Jan-14	17-Jan-14	y
WT 13-14 131	Dr Markus Ralser	Biochemistry	American Chemical Society	Analytical Chemistry	Cytosine DNA methylation is found in Drosophila melongaster but absent in Saccharomyces cerevisiae, Schizosaccharomyces pombe, and other yeast species	PH 819665	£2,166.72	10-Apr-14	06-May-14	y
WT 13-14 132	Dr David Franklin	Engineering	Elsevier	Current Biology	A dedicated binding mechanism for the visual control of movement	NA 818426	£3,050.06	11-Apr-14	11-Apr-14	y
WT 13-14 134	Professor Anne Ferguson-Smith	Genetics	Wiley	Acta Physiologica	Perturbations to the IGF1 growth pathway and adult energy homeostasis following disruption of mouse chromosome 12 imprinting	VE 810187	£1,161.29	30-Oct-13	15-Feb-14	y
WT 13-14 135	Dr Nicholas Greene	Pathology	Elsevier	FEBS Letters	Structure of an atypical periplasmic adaptor from a multidrug efflux pump of the spirochete Borrelia burgdorferi	VE 810187	£1,210.21	30-Oct-13	15-Feb-14	y
WT 13-14 136	Dr Richard Dorrell	Biochemistry	Public Library of Science	PLoS Genetics	Evolution of chloroplast processing in Plasmodium and its chromerid algal relatives	VE 810187	£506.25	30-Oct-13	15-Feb-14	y
WT 13-14 137	Dr Luke Clark	Psychology	Oxford University Press	Cerebral Cortex	Risk-sensitive decision making in patients with posterior parietal and ventromedical pre-frontal cortex injury	VE 810187	£1,275.00	30-Oct-13	15-Feb-14	y
WT 13-14 138	Dr Shannon Sahlquist	Institute of Public Health	BMJ Publishing Group	BMJ Open	The association of cycling with all-cause, cardiovascular and cancer mortality: findings from the population-based EPIC-Norfolk cohort	VE 810187	£252.00	30-Oct-13	15-Feb-14	y
WT 13-14 139	Dr Natalia del Campo	Psychiatry	Oxford University Press	Brain	A positron emission tomography study of nigro-striatal dopaminergenic mechanisms underlying attention: implications for ADHD and its treatment	VE 810187	£480.00	30-Oct-13	15-Feb-14	y
WT 13-14 140	Dr Stephen Sawiak	Wolfson Brain Imaging Unit	Elsevier	Magnetic Resonance Imaging	Voxel-based morphometry with templates and validation in a mouse model of Huntington’s disease	VE 810187	£961.54	30-Oct-13	15-Feb-14	y
WT 13-14 141	Dr Kirsten Corder	Institute of Public Health	BioMed Central	BMC Public Health	What do adolescents want in order to become more active?	VE 810187	£550.32	30-Oct-13	15-Feb-14	y
WT 13-14 142	Dr Jeffrey Dalley	Psychology	Elsevier	Biological Psychiatry	Gamma aminobutyric acidergic and neuronal structural markers in the nucleus accumbens core underlie trait-like impulsive behavior	VE 810187	£1,210.21	30-Oct-13	15-Feb-14	y
WT 13-14 143	Dr Thomas Burgoine	Institute of Public Health	Public Library of Science	PLoS One	Making sense of a new transport system: an ethnographic study of the Cambridgeshire Guided Busway	VE 810187	£268.21	30-Oct-13	15-Feb-14	y
WT 13-14 144	Dr Jonathan Clarke	Pharmacology	Portland Press	The Biochemical Journal	Evolutionarily conserved structural changes in phosphatidylinositol 5-phosphate 4-kinase (PI5P4K) isoforms are responsible for differences in enzyme activity and localisation A	VE 810187	£1,350.00	30-Oct-13	15-Feb-14	y
WT 13-14 145	Dr Thomas Burgoine	Institute of Public Health	BioMed Central	International Journal of Health Geographics	Creating ‘obesogenic realities’: do our methodological choices make a difference when measuring the food environment?	VE 810187	£478.92	30-Oct-13	15-Feb-14	y
WT 13-14 146	Dr Thomas Burgoine	Institute of Public Health	BioMed Central	International Journal of Behavioral Nutrition and Physical Activity	Characterising food environment exposure at home at work and along commuting journeys using data on adults in the UK	VE 810187	£570.72	30-Oct-13	15-Feb-14	y
WT 13-14 147	Dr David Humphreys	Institute of Public Health	BioMed Central	International Journal of Behavioral Nutrition and Physical Activity	Synthesising evidence for equity impacts of population based physical activity interventions: a pilot study	VE 810187	£550.32	30-Oct-13	15-Feb-14	y
WT 13-14 148	Dr David Huggins	MRC Research Centre	American Chemical Society	Journal of Physical Chemistry B	Assessing the accuracy if inhomogeneous fluid solvation theory in predicting hydration free energies of simple solutes	VE 810187	£592.11	30-Oct-13	15-Feb-14	y
WT 13-14 149	Dr Anthony Khawaja	Public Health and Primary Care	Wiley	Acta Ophthalmologica	Time to abandon over-simplified surrogates of ocular perfusion pressure in glaucoma research	RH 824404	£2,217.69	14-Apr-14	05-Jun-14	y
WT 13-14 150	Professor Steve Jackson	Gurdon Institute	American Society for Microbiology	Molecular and Cellular Biology	USP28 is recruited to sites of damage by the tandem BRCT domains of 53BP1 but plays a minor role in double-strand break metabolism	PR 820712	£1,442.65	15-Apr-14	06-May-14	y
WT 13-14 151	Dr Gos Micklem	Genetics	Oxford University Press	Nucleic Acids Research	"InterMine: extensive web services for
modern biology"	PC 820282	£852.00	16-Apr-14	30-Apr-14	y
WT 13-14 152	Professor Richard Farndale	Biochemistry	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	"New Insights into the DT40 B-Cell Receptor Cluster using 
a Proteomic Proximity Labeling Assay"	PH 819540	£1,071.05	22-Apr-14	06-May-14	y
WT 13-14 153	Dr Markus Ralser	Biochemistry	Wiley	Molecular Systems Biology	Non-enzymatic glycolysis and pentose phosphate pathway-like reactions in the plausible Archean ocean	PH 819460	£2,922.00	22-Apr-14	06-May-14	y
WT 13-14 154	Professor Sarah Lummis	Biochemistry	Wiley	Molecular Nutrition and Food Research	GABAA receptor modulation by terpenoids from Sideritis extracts	PH 821941	£693.46	22-Apr-14	20-May-14	y
WT 13-14 155	Professor Steve Oliver	Biochemistry	Oxford University Press	Bioinformatics	Canto: An online tool for community literature curation	PH 821564	£1,020.00	22-Apr-14	09-May-14	y
WT 13-14 156	Dr Elaine Leong	History and Philosophy of Science	Wiley	Renaissance Studies	Herbals She Peruseth': Reading Medicine in Early Modern England	7113233	£2,140.94	29-Apr-14	01-May-14	y
WT 13-14 157	Dr Hannah Clarke	Physiology, Development and Neuroscience	Society for Neurscience	Journal of Neuroscience	Orbitofrontal dopamine depletion up-regulates caudate dopamine and alters behavior via changes in reinforcement sensitivity	PJ 825178	£2,334.52	28-Apr-14	05-Jun-14	y
WT 13-14 158	Dr Claudio Kossler	Medicine	Elsevier	Tuberculosis	Genetic diversity within Mycobacterium tuberculosis complex impacts on the accuracy of genotypic pyrazinamide drug-susceptibility assay	RC 830169	£1,824.71	28-Apr-14	10-Jul-14	y
WT 13-14 159	Dr Sergey Nejentsev	Medicine	Elsevier	Journal of Allergy and Clinical Immunology	Immunodeficiency and disseminated mycobacterial infection associated with homozygous nonsense mutation of IKKβ	RC 823494	£2,180.71	29-Apr-14	22-May-14	y
WT 13-14 160	Professor Jim Kaufman	Pathology	Public Library of Science	PLoS Genetics	Sequence of a complete chicken BG haplotype shows dynamic expansion and contraction of two gene lineages with particular expression patterns	PK 822377	£1,606.00	01-May-14	20-May-14	y
WT 13-14 161	Dr Cinzia Cantacessi	Veterinary Medicine	Oxford University Press	Journal of Infectious Diseases	Impact of experimental hookworm infection on the human gut microbiota	PN 834808	£2,188.00	02-May-14	31-Jul-14	y
WT 13-14 162	Dr Barbara Blacklaws	Veterinary Medicine	Society for General Microbiology	Journal of General Virology	Pathology caused by persistent murine norovirus infection	PN 823316	£1,750.00	01-May-14	23-May-14	y
WT 13-14 163	Professor Sir Tom Blundell	Biochemistry	Oxford University Press	Nucleic Acids Research	DUET: a server for predicting effects of mutations on protein stability using an integrated computational approach	PH 821952	£852.00	02-May-14	20-May-14	y
WT 13-14 164	Professor Trevor Robbins	Psychology	Society for Neurscience	Journal of Neuroscience	Free-operant avoidance behaviour by rats following reinforce revaluation using opioid agonists and d-amphetamine	PJ 822171	£2,334.04	06-May-14	20-May-14	y
WT 13-14 165	Dr Michael Weekes	Cambridge Institute for Medical Research	Elsevier	Cell	Quantitative temporal viromics: a new approach to investigate host-pathogen interaction	10672CV6	£3,656.34	08-May-14	20-May-14	y
WT 13-14 166	Professor Trevor Robbins	Psychology	Wiley	Human Brain Mapping	Hypoactivation in right inferior frontal cortex is specifically associated with motor response inhibition in adult ADHD	PJ 825180	£2,140.18	08-May-14	05-Jun-14	y
WT 13-14 167	Professor Guy Brown	Biochemistry	Wiley	GLIA	Inhibition of UDP/P2Y6 purinergic signaling prevents phagocytosis of viable neurons by activated microglia in vitro and in vivo	PH 822378	£2,133.71	08-May-14	20-May-14	y
WT 13-14 168	Professor Mark Carrington	Biochemistry	Oxford University Press	Nucleic Acids Research	A short RNA stem-loop is necessary and sufficient for repression of gene expression during early logarithmic phase in Trypanosomes	PH 822329	£852.00	08-May-14	20-May-14	y
WT 13-14 169	Professor David Dunne	Pathology	Oxford University Press	Journal of Infectious Diseases	Suppression of basophil histamine-release and other IgE-dependent responses in childhood Schistosoma mansoni/hookworm co-infection	PK 822473	£2,625.60	08-May-14	20-May-14	y
WT 13-14 170	Dr Hannah Newton	History and Philosophy of Science	Elsevier	Endeavour	The Sick Child in Early Modern England, 1580-1720	JN 823841	£539.23	12-May-14	28-May-14	y
WT 13-14 171	Dr Francis Jiggins	Genetics	Public Library of Science	PLoS One	High anti-viral protection without immune upregulation after interspecies Wolbachia transfer	PC 832350	£932.81	14-May-14	25-Jul-14	y
WT 13-14 172	Professor Steve Jackson	Gurdon Institute	Wiley	Advanced Healthcare Materials	Confinement and deformation of single cells and their nuclei inside size-adapted microtubes	PR 823709	£2,141.46	19-May-14	28-May-14	y
WT 13-14 173	Professor John Todd	CIMR Medical Genetics	BioMed Central	BMC Genomics	A hybrid qPCR/SNP array approach allows cost efficient assessment of KIR gene copy numbers in large samples	SE 823030	£1,315.80	20-May-14	20-May-14	y
WT 13-14 174	Dr Randy J Read	CIMR Haematology	The Royal Society	Proceedings of the Royal Society B: Biological Sciences	Temperature-responsive release of thyroxine and its environmental adaptation in Australians	SB 823026	£1,260.00	20-May-14	20-May-14	y
WT 13-14 175	Dr Richard Andrew MacKay	History and Philosophy of Science	John Hopkins University Press	Bulletin of the History of Medicine	“Patient Zero”: The Absence of a Patient’s View of the Early North American AIDS Epidemic	JN 830736	£2,072.89	20-May-14	17-Jul-14	y
WT 13-14 177	Professor Erik Miska	Gurdon Institute	Cold Spring Harbor Laboratory Press	Genes and Development	PRDE-1 is a nuclear factor essential for the biogenesis of Ruby motif-dependent piRNAs in C. elegans	PR 820935 and PR 824576	£1,491.33	01-May-14	01-May-14	y
WT 13-14 178	Dr Kirsten Corder	Institute of Public Health	American Society for Nutrition	American Journal of Clinical Nutrition	Breakfast consumption and physical activity in adolescents: daily associations and hourly patterns	VE 824508	£1,442.14	27-May-14	02-Jun-14	y
WT 13-14 179	Dr Angie Kehagia	Psychology	Oxford University Press	Brain	Targeting impulsivity in Parkinson's disease using atomoxetine	VE 823744	£1,200.00	27-May-14	27-May-14	y
WT 13-14 180	Dr Andras Lakatos	Clinical Neurosciences	Nature Publishing Group	Nature Communications	Astrocyte response to motor neuron injury promotes structural synaptic plasticity via STAT3-regulated TSP-1 expression	RR 831140	£3,780.00	29-May-14	21-Jul-14	y
WT 13-14 181	Dr Markus Ralser	Biochemistry	Portland Press	Biochemical Society Transactions	The RNA world and the origin of metabolic enzymes	PH 825518	£2,100.00	02-Jun-14	16-Jun-14	y
WT 13-14 183	Professor Chris Huang	Physiology, Development and Neuroscience	Wiley	Acta Physiologica	Arrhythmic substrate, slowed propagation and increased dispersion in conduction direction in the right ventricular outflow tract of murine Scn5a+/- hearts	PM 830159	£2,114.78	09-Jun-14	10-Jul-14	y
WT 13-14 184	Dr Valerie Voon	Psychiatry	Public Library of Science	PLoS One	Increased ventral-striatal volume in college-aged binge drinkers	RN 828127	£1,003.54	10-Jun-14	11-Jun-14	y
WT 13-14 185	Dr Valerie Voon	Psychiatry	Public Library of Science	PLoS One	Impaired decisional impulsivity in pathological videogamers	RN 828127	£1,065.08	10-Jun-14	11-Jun-14	y
WT 13-14 186	Dr Hisham Ziauddeen	Institute of Metabolic Science	Journal of Visualized Experiments	Journal of Visualized Experiments	Studying food reward and motivation in humans	RN 833604	£3,248.26	10-Jun-14	31-Jul-14	y
WT 13-14 187	Dr Hisham Ziauddeen	Institute of Metabolic Science	Elsevier	Drug Discovery Today	Central nervous system biomarkers for antiobesity drug development	RN 833604	£2,939.36	10-Jun-14	31-Jul-14	y
WT 13-14 188	Dr Valerie Voon	Psychiatry	Nature Publishing Group	Molecular Psychiatry	Disorders of compulsivity: a common bias towards learning habits	RN 833598	£2,880.00	10-Jun-14	31-Jul-14	y
WT 13-14 189	Dr Valerie Voon	Psychiatry	Elsevier	Biological Psychiatry	Neuronal correlates of risk-seeking attitudes to anticipated losses in binge drinkers	RN 833552	£2,201.72	10-Jun-14	31-Jul-14	y
WT 13-14 190	Dr Valerie Voon	Psychiatry	Elsevier	Biological Psychiatry	"Measuring ""waiting"" impulsivity in substance addictions and binge eating disorder in a novel analogue of rodent serial reaction time task"	RN 833552	£2,233.32	10-Jun-14	31-Jul-14	y
WT 13-14 191	Professor Graham Burton	Physiology, Development and Neuroscience	Wiley	Journal of Pathology	Differential Activation of Placental Unfolded Protein Response Pathways Implies Heterogeneity in Causation of Early- and Late-onset Pre-eclampsia	PM 828634	£2,140.30	13-Jun-14	30-Jun-14	y
WT 13-14 193	Dr James Rowe	Clinical Neurosciences	Wiley	Annals of Neurology	The acute brain response to levodopa heralds dyskinesias in Parkinson's disease	RR 831120	£2,594.12	17-Jun-14	17-Jul-14	y
WT 13-14 194	Dr James Rowe	Clinical Neurosciences	Elsevier	Biological Psychiatry	Improving response inhibition in Parkinson's disease with atomoxetine	RR 831120	£2,201.72	17-Jun-14	17-Jul-14	y
WT 13-14 195	Dr James Rowe	Clinical Neurosciences	Oxford University Press	Brain	The medial frontal-prefrontal network for altered awareness of action in Corticobasal syndrome	RR 831120	£2,400.00	17-Jun-14	17-Jul-14	y
WT 13-14 196	Dr James Rowe	Clinical Neurosciences	Oxford University Press	Brain	Selective serotonin reuptake inhibition modulates impulsivity in Parkinson's disease	RR 831120	£2,400.00	17-Jun-14	17-Jul-14	y
WT 13-14 197	Dr James Rowe	Clinical Neurosciences	BMJ Publishing Group	Journal of Neurology, Neurosurgery and Psychiatry	Validation of the new consensus criteria for the diagnosis of  corticobasal degeneration	RR 831120	£2,345.77	17-Jun-14	17-Jul-14	y
WT 13-14 198	Dr James Rowe	Clinical Neurosciences	SAGE Publications	Journal of Psychopharmacology	The size, burden and cost of disorders of the brain in the UK	RR 831120	£1,920.00	17-Jun-14	17-Jul-14	y
WT 13-14 199	Dr James Rowe	Clinical Neurosciences	Elsevier	NeuroImage	Seratonin 2A receptors contribute to the regulation of risk	RR 831120	£1,584.06	17-Jun-14	17-Jul-14	y
WT 13-14 200	Dr James Rowe	Clinical Neurosciences	Springer	Current Neurology and Neuroscience Reports	Imaging psychogenic movement disorders	RR 831120	£2,211.06	17-Jun-14	17-Jul-14	y
WT 13-14 201	Dr James Rowe	Clinical Neurosciences	Public Library of Science	PLoS One	A longitudinal study of motor, oculomotor and cognitive function in progressive supranuclear palsy	RR 831120	£1,060.04	17-Jun-14	17-Jul-14	y
WT 13-14 202	Dr James Rowe	Clinical Neurosciences	Public Library of Science	PLoS One	Multiple modes of impulsivity in Parkinson's disease	RR 831120	£990.77	17-Jun-14	17-Jul-14	y
WT 13-14 203	Dr James Rowe	Clinical Neurosciences	Society for Neuroscience	Journal of Neuroscience	Choosing the rules: distinct and overlapping frontoparietal representations of task rules for perceptual decisions	RR 831120	£2,503.06	17-Jun-14	17-Jul-14	y
WT 13-14 204	Dr Chris Illingworth	Genetics	Public Library of Science	PLoS Computational Biology	Identifying selection in the within-host evolution of influenza using viral sequence data	PC 829087	£1,325.32	18-Jun-14	01-Jul-14	y
WT 13-14 205	Professor Eric Miska	Gurdon Institute	Elsevier	Cell	Getting a grip on piRNA cluster transcription	PR 826311	£3,614.99	11-Jun-14	11-Jun-14	y
WT 13-14 206	Professor Colin Taylor	Pharmacology	Portland Press	Biochemical Society Transactions	Functional impact of glycogen degradation on astrocytic signaling	PL 827599	£1,800.00	23-Jun-14	23-Jun-14	y
WT 13-14 207	Professor Angela Roberts	Physiology, Development and Neuroscience	Oxford University Press	Cerebral Cortex	Role of central serotonin in anticipation of rewarding or punishing outcomes: Effects of selective amygdala or orbitofrontal 5-HT depletion	VE 828060	£1,275.00	25-Jun-14	25-Jun-14	y
WT 13-14 208	Professor Sharon Peacock	Medicine	Oxford University Press	Journal of Antimicrobial Chemotherapy	Zero tolerance for healthcare-associated MRSA bacteraemia: is it realistic? 	VE 828062	£240.00	25-Jun-14	24-Jun-14	y
WT 13-14 209	Dr G Kaminski	Chemical Engineering	Elsevier	Chemistry and Biology	Direct Observations of the Formation of Amyloid β Aggregates in Live Cells Provide Insights into Differences in the Kinetics of Aβ(1-40) and Aβ(1-42) Aggregation	VE 828081	£2,536.68	25-Jun-14	25-Jun-14	y
WT 13-14 210	Dr Robert B. Dudas	Psychiatry	Public Library of Science	PLoS One	Self-relevant disgust and self-harm urges in patients with borderline personality disorder and depression: a pilot study with a newly designed psychological challenge	VE 828070	£484.48	25-Jun-14	25-Jun-14	y
WT 13-14 211	Dr Andy Atkin	MRC Epidemiology Unit	Public Library of Science	PLoS One	Clustering and correlates of multiple health behaviours in 9-10 year old children	VE 828071	£384.46	25-Jun-14	25-Jun-14	y
WT 13-14 213	Professor Sir John Gurdon	Zoology	Elsevier	Molecular Cell	Hierarchical molecular events driven by oocyte-specific factors lead to rapid and extensive reprogramming	PR 837792	£3,536.15	03-Jul-14	28-Aug-14	y
WT 13-14 214	Dr Tom Monie	Veterinary Medicine	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Engagement of nucleotide-binding oligomerization domain-containing protein 1 (NOD1) by receptor interacting protein 2 (RIP2) is insufficient for signal transduction	PN 837262	£1,051.09	08-Jul-14	26-Aug-14	y
WT 13-14 220	Dr Jenny Bangham	History and Philosophy of Science	Elsevier	Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences	Blood groups and human groups: collecting and calibrating genetic data after World War II	W1231273	£776.59	11-Jul-14	17-Jul-14	y
WT 13-14 221	Dr Daniel Davis	Public Health and Primary Care	BioMed Central	BMC Geriatric Medicine	The descriptive epidemiology of delirium symptoms in a large population-based cohort study: results from the Medical Research Council Cognitive Function and Ageing Study (MRC CFAS)	RH 837353	£1,608.00	16-Jul-14	26-Aug-14	y
WT 13-14 222	Dr Claudio Kossler	Medicine	Elsevier	Trends in Genetics	Whole-genome sequencing to control antimicrobial resistance	RC 840821	£2,175.27	17-Jul-14	12-Sep-14	y
WT 13-14 223	Dr Nerea Irigoyen	Pathology	American Society for Microbiology	Journal of Virology	Modulation of stop codon readthrough efficiency and its effect on the replication of murine leukemia virus	PK 834405	£1,400.56	21-Jul-14	31-Jul-14	y
WT 13-14 224	Dr Lucy Davison	Veterinary Medicine	Public Library of Science	PLoS One	Dissecting the regulatory microenvironment of a large animal model of non-Hodgkin lymphoma: evidence of a negative prognostic impact of FOXP3+ T cells in canine B cell lymphoma	PN 834721	£946.21	24-Jul-14	31-Jul-14	y
WT 13-14 225	Profesor Magdalena Zernicka-Goetz	Physiology, Development and Neuroscience	Elsevier	Developmental Biology	The basal position of nuclei is one pre-requisite for asymmetric cell divisions in the early mouse embryo	PM 841534	£1,280.35	24-Jul-14	01-Oct-14	y
WT 13-14 226	Dr Martin O'Neill	Physiology, Development and Neuroscience	Elsevier	Journal of Physiology - Paris	Economic risk coding by single neurons in the orbitofrontal cortex	PM 843910	£2,053.94	24-Jul-14	17-Oct-14	y
WT 13-14 227	Dr Thorold Theunissen	Gurdon Institute	Elsevier	Cell Stem Cell	Systematic identification of culture conditions for induction and maintenance of naive human pluripotency	10904CV4	£3,544.01	28-Jul-14	01-Aug-14	y
WT 13-14 228	Professor Azim Surani	Gurdon Institute	Elsevier	Molecular Cell	Dynamic heterogeneity and DNA methylation in embryonic stem cells	PR 831126	£3,532.20	17-Jul-14	17-Jul-14	y
WT 13-14 229	Professor Trevor Robbins	Psychology	Public Library of Science	PLoS One	Effects of methamphetamine administration on information gathering during probabilistic reasoning in healthy humans	VE 831625	£283.75	21-Jul-14	21-Jul-14	y
WT 13-14 230	Professor Nick Wareham	Institute of Public Health	Hindawi Publishing Corporation	Journal of Obesity	Using the Medical Research Council framework for the development and evaluation of complex interventions in a theory-based infant feeding intervention to prevent childhood obesity: the baby milk intervention and trial	VE 831545	£221.11	21-Jul-14	21-Jul-14	y
WT 13-14 231	Dr Rhiannon Parkhouse	Biochemistry	Elsevier	FEBS Letters	Interaction between NOD2 and CARD9 involves the NOD2 NACHT and the linker region between the NOD2 CARDs and NACHT domain	VE 831473	£1,408.38	21-Jul-14	21-Jul-14	y
WT 13-14 232	Professor Ernest Laue	Biochemistry	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Insight into the architecture of the NuRD complex: Structure of the RbAp48-MTA1 sub-complex	VE 831459	£1,600.00	21-Jul-14	21-Jul-14	y
WT 13-14 233	Dr J P Coles	Clinical Medicine	Nature Publishing Group	Journal of Cerebral Blood Flow and Metabolism	Use of diffusion tensor imaging to assess the impact of normobaric hyperoxia within at-risk pericontusional tissue following traumatic brain injury	VE 831448	£1,596.00	21-Jul-14	21-Jul-14	y
WT 13-14 234	Professor Daniel St Johnston	Gurdon Institute	Elsevier	Seminars in Cell and Developmental Biology	Spindle orientation: what if it goes wrong?	PR 832396	£2,560.70	25-Jul-14	25-Jul-14	y
WT 13-14 235	Professor Daniel St Johnston	Gurdon Institute	Elsevier	Developmental Biology	Staufen targets coracle mRNA to Drosophila neuromuscular junctions and regulates GluRIIA synaptic accumulation and bouton number	PR 832468	£1,264.37	25-Jul-14	25-Jul-14	y
WT 13-14 236	Professor Daniel St Johnston	Gurdon Institute	Company of Biologists	Development	Slmb antagonises the aPKC/Par-6 complex to control oocyte and epithelial polarity	PR 832435	£3,000.00	25-Jul-14	25-Jul-14	y
WT 13-14 237	Dr Daniel Davis	Public Health and Primary Care	BioMed Central	BMC Medicine	The DSM-5 criteria, level of arousal and delirium diagnosis: inclusiveness is safer	RH 839192	£1,676.70	02-Aug-14	12-Sep-14	y
WT 13-14 238	Dr Richard Farndale	Biochemistry	Nature Publishing Group	Nature Communications	Identification of platelet function defects by multiparameter assessment of thombus formation	PH 835436	£3,780.00	07-Aug-14	31-Jul-14	y
WT 13-14 239	Dr Julien Martinez	Genetics	Public Library of Science	PLoS Pathogens	Symbionts commonly provide broad spectrum resistance to viruses in insects: a comparative analysis of Wolbachia strains	PC 839579	£1,627.88	07-Aug-14	15-Sep-14	y
WT 13-14 243	Dr Brian Hendrich/Dr Jose Silva	Stem Cell Institute	Elsevier	Cell Stem Cell	Mbd3/NuRD facilities induction of pluripotency in a context dependent manner	PS 836090	£3,614.98	08-Aug-14	08-Aug-14	y
WT 13-14 244	Dr Thora Karradottir	Stem Cell Institute	Elsevier	Neuroscience	Unravelling the secrets of white matter – bridging the gap between cellular, animal and human imaging systems	PS 836089	£1,565.88	08-Aug-14	08-Aug-14	y
WT 13-14 245	Dr Sanjay Sinha	Stem Cell Institute	Springer	Cellular and Molecular Life Sciences	Embryonic origins of human vascular smooth muscle cells: implications for in vitro modelling and clinical application	PS 836087	£2,113.36	08-Aug-14	08-Aug-14	y
WT 13-14 246	Dr Michaela Frye	Stem Cell Institute	Elsevier	Current Opinion in Cell Biology	Role of RNA methyltransferases in tissue renewal and pathology	PS 836084	£2,667.40	08-Aug-14	08-Aug-14	y
WT 13-14 247	Dr Bertie Gottgens	Stem Cell Institute	Elsevier	Experimental Research	Transcriptional network control of normal and leukemic haematopoiesis	PS 836081	£1,255.70	08-Aug-14	08-Aug-14	y
WT 13-14 248	Dr Ludovic Vallier	Stem Cell Institute	Elsevier	Journal of Biotechnology	Investigating the Feasibility of Scale up and Automation of Human Induced Pluripotent Stem Cells Cultured in Aggregates in Feeder Free Conditions	PS 836079	£1,313.73	08-Aug-14	08-Aug-14	y
WT 13-14 249	Dr Keith Martin	Stem Cell Institute	Elsevier	Neuroscience Letters	Mesenchymal stromal cells integrate and form longitudinallyaligned layers when delivered to injured spinal cord via a novel fibrin scaffold	PS 836078	£1,584.24	08-Aug-14	08-Aug-14	y
WT 13-14 250	Dr Ben Simons	Stem Cell Institute	Elsevier	Cell Stem Cell	Mouse spermatogenic stem cells continually interconvert between equipotent singly isolated and syncytial states	PS 836077	£3,660.12	08-Aug-14	08-Aug-14	y
WT 13-14 251	Dr Bertie Gottgens	Stem Cell Institute	Wiley	EMBO Journal	Key regulators control distinct transcriptional programs in blood progenitor and mast cells	PS 836075	£2,810.98	08-Aug-14	08-Aug-14	y
WT 13-14 252	Dr Roger Barker	Stem Cell Institute	Wiley	Journal of Comparative Neurology	Treating Parkinson’s disease in the 21st century – can stem cell transplantation compete?	PS 836070	£2,140.94	08-Aug-14	08-Aug-14	y
WT 13-14 253	Professor Nick Wareham	Institute of Public Health	Springer	Sports Medicine	A systematic review with meta-analyses of differences in objectively measured physical activity between selected periods of the day and the week in school-aged children	VE 832844	£1,005.96	28-Jul-14	28-Jul-14	y
WT 13-14 254	Professor Simon Baron-Cohen	Psychiatry	Public Library of Science	PLoS One	Attenuation of typical sex differences in 800 adults with autism vs. 3,900 controls	VE 838626	£466.41	28-Jul-14	28-Jul-14	y
WT 13-14 255	Dr Victoria Keevil	Public Health and Primary Care	American College of Sports Medicine 	Medicine and Science in Sports and Exercise	Television Viewing, Walking Speed and Grip Strength in a Prospective Cohort Study	VE 836799	£537.57	19-Aug-14	19-Aug-14	y
WT 13-14 256	Dr Giorgio Favrin	Biochemistry	Public Library of Science	PLoS One	esyN: Network building, sharing and publishing	VE 836798	£722.06	19-Aug-14	19-Aug-14	y
WT 13-14 257	Dr Luke Clark 	Psychology	Elsevier	Neuroimage: Clinical	Striatal connectivity changes following gambling wins and near-misses: associations with gambling severity 	VE 835095	£156.08	31-Jul-14	31-Jul-14	y
WT 13-14 258	Professor Azim Surani	Gurdon Institute	Springer	Reproductive Medicine and Biology	Germ cell specification and pluripotency in mammals: a perspective from early embryogenesis	PR 833479	£2,097.56	31-Jul-14	31-Jul-14	y
WT 13-14 259	Professor Sir John Gurdon	Gurdon Institute	Journal of Visualized Experiments (JoVE)	Journal of Visualized Experiments	Manipulation and in vitro maturation of Xenopus laevis oocytes, followed by intracytoplasmic sperm injection, to study embryonic development	PR 833477	£2,948.58	31-Jul-14	31-Jul-14	y
WT 13-14 260	Dr Andrea Brand	Gurdon Institute	Elsevier	Developmental Cell	Gap junction proteins in the blood-brain barrier control nutrient-dependent reactivation of Drosophila neural stem cells	PR 833541	£3,556.54	31-Jul-14	31-Jul-14	y
WT 13-14 261	Dr Andrea Brand	Gurdon Institute	BioMed Central	Neural Development	Optix defines a neuroepithelial compartment in the optic lobe of the Drosophila brain	PR 834619	£1,610.40	31-Jul-14	31-Jul-14	y
